17,  Sal Grosso
3:00,  Distância
a césar o que é de césar, a deus o que é de deus,  Quarup
a escrava isaura,  Recreio
alameda das orquídeas,  Sal Grosso
anjo,  Vocação
ao meu verdadeiro amor,  Quarup
areia suja,  Distância
beatriz,  Um Tijolo Com Seu Nome
brasil novo,  Lula
brejo das almas,  Recreio
bruna,  Um Tijolo Com Seu Nome
cabo frio,  Lula
caetés,  Lula
carlos,  Um Tijolo Com Seu Nome
carnaval,  Quarup
carta a minha filha em prantos,  Recreio
cauê,  Um Tijolo Com Seu Nome
clarisse,  Um Tijolo Com Seu Nome
colgate,  Quarup
contagem,  Lula
coromandel,  Lula
dalila,  Um Tijolo Com Seu Nome
dom casmurro,  Recreio
eduardo,  Um Tijolo Com Seu Nome
enquanto pensa no futuro,  Sal Grosso
esqueletos,  Vocação
esse topper foi feito para andar,  Quarup
eu já venci,  Quarup
eu nunca fui ninguém,  Sal Grosso
fabiana,  Um Tijolo Com Seu Nome
fogo-fátuo,  Quarup
fortaleza,  Lula
frágua,  Vocação
gabriela,  Um Tijolo Com Seu Nome
gaúcha,  Quarup
goiânia,  Lula
guesa errante,  Recreio
happy hour,  Duas Valsas
helena,  Um Tijolo Com Seu Nome
henrique,  Um Tijolo Com Seu Nome
homem,  Distância
há algo de podre no reino de minas gerais,  Sal Grosso
isaac,  Um Tijolo Com Seu Nome
jesus,  Um Tijolo Com Seu Nome
jurupari,  Quarup
letícia,  Um Tijolo Com Seu Nome
lorena,  Um Tijolo Com Seu Nome
lucas,  Um Tijolo Com Seu Nome
lâmina cega,  Vocação
maceió,  Lula
mar morto,  Recreio
maria,  Um Tijolo Com Seu Nome
marisa,  Um Tijolo Com Seu Nome
martina,  Um Tijolo Com Seu Nome
maurício,  Um Tijolo Com Seu Nome
melissa,  Um Tijolo Com Seu Nome
midas,  Vocação
minha cidade em ruínas,  Quarup
naná,  Duas Valsas
natal,  Lula
noma,  Quarup
o arrependimento,  Quarup
o brasil quer mais,  Vocação
o futuro é feminino,  Quarup
o que falta,  Sal Grosso
o sorriso do chet baker,  Sal Grosso
orquestra pra três,  Quarup
os dias morrem,  Distância
para viver um grande amor,  Recreio
paulo,  Um Tijolo Com Seu Nome
pavimento,  Sal Grosso
pelotas,  Lula
pequena,  Sal Grosso
pka prefácio,  Quarup
porto velho,  Lula
querubim,  Quarup
redenção (três gatos e um cachorro),  Amor
reino dos mortos,  Quarup
resplendor,  Lula
ricardo,  Um Tijolo Com Seu Nome
rj (moreninha),  Quarup
salvador,  Lula
santa maria,  Lula
sara,  Um Tijolo Com Seu Nome
se nosso nome fosse um verbo (canibalismo como forma de amor),  Amor
sorocaba,  Lula
sp (pais solteiros),  Quarup
tainá müller,  Distância
terra,  Vocação
tédio bom,  Sal Grosso
uberlândia,  Lula
uma bruta realidade (o nosso jatobá),  Amor
vejo uma lua no céu,  Vocação
vermelho (seus olhos brilhando violentamente sob os meus),  Amor
você é fraco,  Quarup
voz,  Vocação
à distância da palma da mão,  Distância
às vezes,  Sal Grosso
ágape,  Quarup
álamo,  Vocação
